attendees,affiliation,status
Nelson Jones,Pharmacy,Faculty
Quinten Phenna,Nursing,Faculty
Mitchell Takahashi,Dentistry,Faculty
Larry Mondragon,Pharmacy,Staff
Ashlee Yong,Pharmacy,Faculty
Joseph Blaugher,Pharmacy,Faculty
Badri el-Mahmood,Nursing,Faculty
Jesus Chacon,Dentistry,Faculty
Ariana Rios,Medicine,Faculty
Nicholas Perkins,Pharmacy,Staff
Nikita Edwards,Nursing,Faculty
Ntxuam Lee,Nursing,Staff
Kirsten Amon,Nursing,Staff
Erik Alva,Graduate,Faculty
Asmar el-Javid,Dentistry,Staff
Logan Baker,Social Work,Faculty
Jerrica Dejesus,Medicine,Staff
Andrea Mira,Dentistry,Staff
Zoe Chen,Social Work,Student
Sanad el-Shahidi,Pharmacy,Faculty
Christia Corrigan,Nursing,Staff
Ricky Rufino,Social Work,Student
Rebecca Muncy,Pharmacy,Faculty
