attendees,affiliation,status
Valerie Jauregui,Social Work,Faculty
Jared Buccieri,Medicine,Faculty
Ian Martin,Social Work,Student
William Bauer,Social Work,Staff
Orion Mace,Graduate,Student
Jordan Pruegner,Nursing,Staff
Cassondra Goodell,Graduate,Staff
Isaiah Smith,Graduate,Staff
Hameeda el-Hariri,Social Work,Staff
Danielle Jackson,Pharmacy,Staff
Christian Alarid,Social Work,Faculty
Michelle Everett,Social Work,Student
Aaqil el-Azam,Medicine,Faculty
Wadha el-Hamad,Social Work,Staff
Vanya Vandriel,Nursing,Student
Ali Kuot Moody,Social Work,Student
Kaylin Hubbard,Graduate,Faculty
Quintina Richards,Medicine,Faculty
Ashley Phillips,Social Work,Student
Taamira al-Sharifi,Dentistry,Student
Adeeb al-Mattar,Medicine,Staff
Fareeda el-Husain,Medicine,Student
Stacie Lajoie,Pharmacy,Student
Domonic Lopez,Dentistry,Student
Edgar Lopez,Social Work,Staff
Jaarallah al-Salahuddin,Graduate,Student
Dylan Higgins,Dentistry,Faculty
Joshua Kazemi,Graduate,Faculty
