attendees,affiliation,status
Jared Box,Graduate,Student
Angel Liebe,Graduate,Student
Tu Huck,Pharmacy,Faculty
Qwa Eisom,Dentistry,Staff
Anastasia Presser,Social Work,Staff
Jaevyn Sukkum,Graduate,Staff
Autumn Alvarenga,Nursing,Student
Xavier Snow,Pharmacy,Faculty
Ghaidaa el-Abdoo,Graduate,Student
Cory Rieder,Dentistry,Faculty
Brandon Huff,Medicine,Staff
Lorenda Ferman,Pharmacy,Student
Sean Fronatt,Graduate,Faculty
Wajeeha al-Rahimi,Graduate,Student
Adriana Picazo,Medicine,Staff
Zamir Thomas,Nursing,Staff
Faatih el-Amer,Social Work,Student
Jorge Garlick,Graduate,Student
Ricardo Medina,Medicine,Staff
