attendees,affiliation,status
Ismael Silvano,Nursing,Faculty
Ghaidaa el-Zahra,Dentistry,Faculty
Shadae Rivera,Medicine,Staff
Dakota Aragon,Pharmacy,Staff
Kendall Dean,Nursing,Staff
Aaliyah Hayes,Social Work,Student
Caitlyn Rincon,Graduate,Student
Melvin Waynewood,Social Work,Staff
Larissa Mendez,Nursing,Student
Juliet Auyeung,Dentistry,Student
Suhail al-Kamel,Social Work,Faculty
Ciara Maciel,Nursing,Staff
Naseeba el-Hatem,Nursing,Staff
Azhaar el-Mahmud,Dentistry,Staff
Drew Earl,Medicine,Staff
Elaine Long,Pharmacy,Student
Taylor Benzel,Graduate,Faculty
Nicholas Stone,Pharmacy,Staff
Ann Duong,Graduate,Staff
Makayla King,Graduate,Student
Celeste Fair,Graduate,Staff
Alondra Casillas,Graduate,Student
Ty Murray,Social Work,Faculty
Jessica Taylor,Medicine,Faculty
