attendees,affiliation,status
Luis Schmidt,Medicine,Faculty
Keith Hyatt,Social Work,Student
Courtney Mccormick,Medicine,Staff
Matthew Cox,Medicine,Student
Tiara Granger,Social Work,Staff
Tyler Mcclelland,Social Work,Staff
Nolmi Moran,Pharmacy,Faculty
Shaafi al-Sani,Graduate,Faculty
Trever Ramirez,Graduate,Staff
Daeja Lander,Medicine,Faculty
Saara al-Azam,Social Work,Student
Kyla Kinderknecht,Social Work,Staff
Breanna Ratcliff,Medicine,Faculty
Cody Bailon,Nursing,Student
Ruben Lovato,Social Work,Staff
Laila al-Mohammad,Social Work,Staff
Irvin Salazar,Medicine,Student
Najlaa el-Khalifa,Social Work,Faculty
Jessica Vigil,Graduate,Student
