attendees,affiliation,status
Mystic Herrera,Social Work,Faculty
Steven Cather,Pharmacy,Student
Victor Martinez,Social Work,Faculty
Danial Snow,Medicine,Faculty
Julia Parker,Pharmacy,Faculty
Helen Suh,Dentistry,Faculty
Michelle Ho,Social Work,Student
Wajeeha al-Sultana,Nursing,Faculty
Salvatore Ward,Nursing,Student
Colby Sisneros,Pharmacy,Student
Riley Howell,Social Work,Student
Alyssa Yan,Social Work,Staff
Katherine Askins,Social Work,Staff
Hilmiyya el-Akram,Social Work,Faculty
Eric Beyene,Pharmacy,Staff
Kamaaluddeen al-Zaher,Dentistry,Staff
Richard Stott,Social Work,Staff
Alexander Garcia-Marrufo,Nursing,Faculty
Guang Cao,Graduate,Student
Jeremy Dahlin,Graduate,Student
Hakeema al-Siddiqi,Medicine,Student
Andrew Stroud,Graduate,Staff
Miguel Sanchez Rodriguez,Medicine,Staff
Rabdaa el-Yusuf,Social Work,Student
Arliss Slayton,Nursing,Staff
Kelsey Bains,Nursing,Faculty
