attendees,affiliation,status
Bethel Moore,Social Work,Staff
Angel Williams,Dentistry,Faculty
Edward Acosta,Graduate,Student
Gurleen Tran,Pharmacy,Faculty
James Meitler,Medicine,Staff
Teresa Rodriguez,Nursing,Staff
Jaelan Harville,Medicine,Student
Jasmine Funk,Social Work,Staff
Kulthum al-Guler,Dentistry,Staff
Darrien Arapahoe,Medicine,Student
Tehya Silverston,Graduate,Faculty
Alyssa Descheny,Pharmacy,Faculty
Edgar Ott,Social Work,Student
Lorraine Farley,Nursing,Faculty
Amelia Anderson,Graduate,Faculty
Nawfal al-Dar,Nursing,Student
Jeannetta Saulsberry,Dentistry,Staff
Tia Morales Romero,Pharmacy,Student
Mckinley Joy,Nursing,Faculty
Sarah Hayashida,Nursing,Student
Miranda Aguilar,Pharmacy,Staff
Vincent Valdez,Social Work,Staff
Ali Reyes,Nursing,Student
